id,pali_1,sutta_1
70377,katamanussaranta,tirokuṭṭasuttaṃ
28243,katīhi,jāgarasuttaṃ
26215,kabaliṅkāra,puttamaṃsūpamasuttaṃ
71820,kabaḷī,moḷiyaphaggunasuttaṃ
27668,karaṇa 5,dhammayuttika-pubbakicca
27793,karitvā 1,uposathasuttaṃ
27803,kariyamāna 1,dhammayuttika-pubbakicca
27814,karomase,preliminary homage
26727,kalyāṇī 2,janapadakalyāṇīsuttaṃ
27928,kasira 2,tevijjasuttaṃ
26317,kahāpaṇa,buddhavaggo
27982,kātabba 1,dhammacakkappavattanasuttaṃ
26858,kāmasukhallikānuyoga,dhammacakkappavattanasuttaṃ
26873,kāmāvacara 1,suttantabhājanīyaṃ
28439,kāyadaḷhibahula,duṭṭhadosa sikkhāpada
28512,kāyasakkhi,kīṭāgirisuttaṃ
28526,kāyasañcetanā,suttantabhājanīyaṃ
28562,kāyaviveka,guhaṭṭhakasuttaniddeso
27651,kārakatā,duṭṭhaṭṭhakasuttaniddeso
27685,kāraṇaṃ karoti,bhaddālisuttaṃ
27684,kāraṇaṃ kāriyamāna,bhaddālisuttaṃ
27802,kāriyamāna,bhaddālisuttaṃ
27824,kāruka,pārāpariya-thera-gāthā
26479,kālaṃ karonta,dutiya maraṇassatisuttaṃ
26609,kālika 2,kāmasuttaniddeso
27916,kāsikosalā,paṭhamakosalasuttaṃ
26529,kāḷapakkha,buddha-vassa-sajjhāyanā
29543,kilesavatthu,pārāpariyattheragāthā
29584,kiṃ kārapaṭissāvi,yamakasuttaṃ
30391,kukkuṭasampātika,cakkavattisuttaṃ
30334,kujjhi,tissasuttaṃ
30581,kumbhūpama,cittavaggo
30471,kulitthī,licchavikumārakasuttaṃ
30824,kūṭadanta,kūṭadantasuttaṃ
30041,koṇḍañña 1,dhammacakkappavattanasuttaṃ
30959,kyassu,mānatthaddhasuttaṃ
28743,khagga 1,channasuttaṃ
28745,khagga 3,khaggavisāṇasuttaṃ <br/>uragavaggo
28947,khaṇika,sañcaritta sikkhāpada
28873,khaṇḍa 3,methunasuttaṃ
28975,khantipāramī,buddha-vassa-sajjhāyanā
29012,kharassara,āpattibhayasuttaṃ
28820,khalupacchābhattika,duṭṭhaṭṭhakasuttaṃniddeso
28821,khalupacchābhattikaṅga,duṭṭhaṭṭhakasuttaṃniddeso
29402,khuramuṇḍa,āpattibhayasuttaṃ
71031,khemaka 2,khemakasuttaṃ
29419,khvetaṃ,sukkavissaṭṭhi sikkhāpada
22565,gaṇakamoggallāna,gaṇakamoggallānasuttaṃ
22660,gandhappaṭisaṃvedī,upavāṇa sandiṭṭhikasuttaṃ
22663,gandharāga,upavāṇa sandiṭṭhikasuttaṃ
22664,gandharāgappaṭisaṃvedī,upavāṇa sandiṭṭhikasuttaṃ
22539,gamissase,vijitasenattheragāthā
22508,gambhīranema,nagaropamasuttaṃ
22872,garukātabba 1,gāravasuttaṃ
22341,gahita 2,nālandasuttaṃ
22996,gāyanta,methunasuttaṃ
22400,gāḷhabandhanaṃ bandhati,āpattibhayasuttaṃ
23335,gila,baḷisasuttaṃ
23336,gilabaḷisa,baḷisasuttaṃ
23288,gihibhoga,piṇḍolyasuttaṃ
23759,guttadvāratā,parihānasuttaṃ
23764,guttika,viññāṇalakkhaṇa pañho
15726,cakkhusamudda,paṭhamasamuddasuttaṃ
16369,catuttiṃsati,buddha-vassa-sajjhāyanā
16113,catuddasa,nidānuddeso
16179,catumadhura,sāmaññaphalasuttavaṇṇanā
16382,catuvīsati,buddha-vassa-sajjhāyanā
16067,cattālīsati,bhayabheravasuttaṃ
16057,cattāḷisā,buddha-vassa-sajjhāyanā
15774,camarī,brahmajālasuttaṃ
15985,carato,sampannasīlasuttaṃ
15612,cāgasampadā,pattakammasuttaṃ
16114,cātuddasa 1,dhammayuttika-pubbakicca
16186,cātumahārājika 2,paṭhamakosalasuttaṃ
16024,cārittaṃ āpajjita,cundasuttaṃ
17340,cittatā 1.1,tayodhammasuttaṃ
