bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_paṇṇāsa	bjt_vagga	bjt_sutta
an-1-16-2-1	an-1-16-2-1	an-1	22	62	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 1.
an-1-16-2-2	an-1-16-2-2	an-1	22	62	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 2.
an-1-16-2-3	an-1-16-2-3	an-1	22	64	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 3.
an-1-16-2-4	an-1-16-2-4	an-1	22	64	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 4.
an-1-16-2-5	an-1-16-2-5	an-1	22	64	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 5.
an-1-16-2-6	an-1-16-2-6	an-1	22	64	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 6.
an-1-16-2-7	an-1-16-2-7	an-1	22	64	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 7.
an-1-16-2-8	an-1-16-2-8	an-1	22	64	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 2. 8.
an-1-16-3-1	an-1-16-3-1	an-1	22	68	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 1.
an-1-16-3-2	an-1-16-3-2	an-1	22	68	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 2.
an-1-16-3-3	an-1-16-3-3	an-1	22	68	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 3.
an-1-16-3-4	an-1-16-3-4	an-1	22	68	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 4.
an-1-16-3-5	an-1-16-3-5	an-1	22	68	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 5.
an-1-16-3-6	an-1-16-3-6	an-1	22	70	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 6.
an-1-16-3-7	an-1-16-3-7	an-1	22	70	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 7.
an-1-16-3-8	an-1-16-3-8	an-1	22	70	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 8.
an-1-16-3-9	an-1-16-3-9	an-1	22	70	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 9.
an-1-16-3-10	an-1-16-3-10	an-1	22	70	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 3. 10.
