bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book            	 bjt_minor_section	 bjt_vagga           	 bjt_sutta
mn 3. 1. 4.   	 mn-3-1-4    	 mn-3        	          15	           52	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 4. sāmagāma suttaṃ
mn 3. 1. 5.   	 mn-3-1-5    	 mn-3        	          15	           66	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 5. sunakkhatta suttaṃ
mn 3. 1. 6.   	 mn-3-1-6    	 mn-3        	          15	           82	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 6. āneñjasappāya suttaṃ
mn 3. 1. 7.   	 mn-3-1-7    	 mn-3        	          15	           90	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 7. gaṇakamoggallāna suttaṃ
mn 3. 1. 8.   	 mn-3-1-8    	 mn-3        	          15	          100	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 8. gopakamoggallāna suttaṃ
mn 3. 1. 9.   	 mn-3-1-9    	 mn-3        	          15	          116	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 9. mahāpuṇṇama suttaṃ
mn 3. 1. 10.  	 mn-3-1-10   	 mn-3        	          15	          126	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 10. cūḷapuṇṇama suttaṃ
mn 3. 2. 1.   	 mn-3-2-1    	 mn-3-2      	          15	          134	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 2. anupadavaggo     	 1. anupada suttaṃ
mn 3. 2. 2.   	 mn-3-2-2    	 mn-3-2      	          15	          142	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 2. anupadavaggo     	 2. chabbisodhana suttaṃ
mn 3. 2. 3.   	 mn-3-2-3    	 mn-3-2      	          15	          154	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 2. anupadavaggo     	 3. sappurisa suttaṃ
