bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
kn-ap-1-33-4	kn-ap-1-33-4	kn-ap-1-33	39	462	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	yaññasāmikattherāpadānaṃ
kn-ap-1-33-5	kn-ap-1-33-5	kn-ap-1-33	39	464	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	nimittasaññakattherāpadānaṃ
kn-ap-1-33-6	kn-ap-1-33-6	kn-ap-1-33	39	464	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	annasaṃsāvakattherāpadānaṃ
kn-ap-1-33-7	kn-ap-1-33-7	kn-ap-1-33	39	466	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	nigguṇḍipupphiyattherāpadānaṃ
kn-ap-1-33-8	kn-ap-1-33-8	kn-ap-1-33	39	470	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	sumanāveliyattherāpadānaṃ
kn-ap-1-33-9	kn-ap-1-33-9	kn-ap-1-33	39	472	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	pupphachattiyattherāpadānaṃ
kn-ap-1-33-10	kn-ap-1-33-10	kn-ap-1-33	39	472	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	saparivārachattadāyakattherāpadānaṃ
kn-ap-1-34-1	kn-ap-1-34-1	kn-ap-1-33	39	476	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	gandhadhūpiyattherāpadānaṃ
kn-ap-1-34-2	kn-ap-1-34-2	kn-ap-1-33	39	478	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	udakapūjakattherāpadānaṃ
kn-ap-1-34-3	kn-ap-1-34-3	kn-ap-1-33	39	478	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	punnāgapupphiyattherāpadānaṃ
kn-ap-1-34-4	kn-ap-1-34-4	kn-ap-1-33	39	480	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	ekadussadāyakattherāpadānaṃ
kn-ap-1-34-5	kn-ap-1-34-5	kn-ap-1-33	39	482	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	phusitakampiyattherāpadānaṃ
kn-ap-1-34-6	kn-ap-1-34-6	kn-ap-1-33	39	484	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	pabhaṅkarattherāpadānaṃ
kn-ap-1-34-7	kn-ap-1-34-7	kn-ap-1-33	39	488	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	tiṇakuṭidāyakattherāpadānaṃ
kn-ap-1-34-8	kn-ap-1-34-8	kn-ap-1-33	39	490	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	uttareyyadāyakattherāpadānaṃ
kn-ap-1-34-9	kn-ap-1-34-9	kn-ap-1-33	39	492	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	dhammasavaṇiyattherāpadānaṃ
kn-ap-1-34-10	kn-ap-1-34-10	kn-ap-1-33	39	496	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		34. gandhadhūpiyavaggo	ukkhittapadumiyattherāpadānaṃ
