word	pos	position	type	exceptions	notes
disa	adj	last	alutta dutiyā tappurisa	netādisa, nedisa	
dīpana	any	last	chaṭṭhī tappurisa		
dīpanā	any	last	chaṭṭhī tappurisa		
duccarita	any	last	tatiyā tappurisa		
dutiya	any	first	kammadhāraya	dutiyacatuttha, dutiyajjhānasamāpatti, dutiyatatiya, dutiyasuttavaṇṇanā, dutiyādicakkavattikathā	
desanā	fem	last	chaṭṭhī tappurisa	vitthāradesanā	
dosa	masc	last	chaṭṭhī tappurisa	chandadosa, rāgadosa 1.1, vacīdosa, sinehadosa 1.1, snehadosa 1.1	
dhamma	adj	last	kammadhāraya > bahubbīhi	diṭṭhadhamma 2, pattadhamma, pariyogāḷhadhamma, viññātadhamma, viditadhamma	
dhammatā	fem	last	chaṭṭhī tappurisa	kalyāṇadhammatā, kusaladhammatā	
dhara	any	last	dutiyā tappurisa		
dhara	any	last	dutiyā tappurisa		
dhārā	any	last	chaṭṭhī tappurisa	sammādhārā, tiṇhadhārā	
dhārī	adj	last	dutiyā tappurisa		
dhītar	any	last	chaṭṭhī tappurisa	asakyadhītar, ekadhītar	
dhutta	any	last	sattamī tappurisa		
nava	any	first	digu	navakammika 2, navaṅgavasena, navacchadana, navanavutiya, navanīta, navapabbajita, navapurāṇa, navaphala, navambu, navalokuttaradhammasannissita, navasassa, navasivathikapabba, navavāda 1, navavāda 2, navuti, nāvutika, navānukampita, navoropita	
nādika	adj	last	chaṭṭhī tappurisa > bahubbīhi		
nāmaka	adj	last	kammadhāraya > bahubbīhi		
nikkhanta	any	last	pañcamī tappurisa	bahunikkhanta	
niggata	any	last	pañcamī tappurisa		
niccatā	fem	last	chaṭṭhī tappurisa		
nidassana	any	last	dutiyā tappurisa		
nidāna	adj	last	kammadhāraya > bahubbīhi	ekanidāna, kutonidāna, yatonidāna	
nidāna	noun	last	chaṭṭhī tappurisa	ekanidāna, kutonidāna, pāṭaliputtanidāna, yatonidāna, rājagahanidāna, sāvatthinidāna	
ninna	adj	last	dutiyā tappurisa	anupubbaninna	
