variant	main
itthambhāvaññathābhāvaṃ	itthabhāvaññathābhāvaṃ
vimaṃsati	vīmaṃsati
sukhasamudraye	sukhasamuddaye
mettabhāvañca	mettabhāvanā
mettavācañca	mettabhāvanā
mahatthehi	mahattehi
yonissa	yoni cassa
abyāpajjārāmo	abyāpajjhārāmo
abyābajjhārāmo	abyāpajjhārāmo
vesantaraṃ	visantaraṃ
vissantaraṃ	visantaraṃ
mārajahaṃ	mārañjahaṃ
hāsupaññānaṃ	hāsapaññānaṃ
pabhaṅguṇaṃ	pabhaṅguraṃ
nikkaṇhā	vītataṇhā
vācāsuciṃ	 vacīsuciṃ
kāmakaraṇīyo	yathākāmakaraṇīyo
appassutopuññakaro	appassutāpuññakaro
upalimpabhayā	upalepabhayā
virāgikaṃ	virāgunaṃ
saṅgahāni	saṃharāni
apāpurenti	apāpuranti
mocanti	pamocenti
phusseti	phusati
abhilāpāyaṃ	abhisāpoyaṃ
apaduṭṭhamanasaṅkappo	appaduṭṭhamanasaṅkappo
gaharakkhasoti	sagaho sarakkhasoti
jiṇṇamivā	jiṇṇamivattacaṃ
sareruhaṃ	saroruhaṃ
itibbhavābhavatañca	itibhavābhavatañca
utvā	ñatvā
vigatakhīlohamasmi	vigatakhilohamasmi
paccabyattha	paccabyatha
chetva	chetvā
