index	chA	chB	ch1	ch2	eg	weight
488	ṭ	ṭ		ṭ	majjha'ṭ'ṭhāne	4
489	t	t		t	maṅgala't'thambhaṃ	4
490	ṭ	ṭ	ṭ		āsava'ṭ'ṭhānīyā	4
491	t	ū	ta	u	cittūpahāraṃ	3
492	ṭ	u	ṭa	u	sakaṭ'uttaraṇabhatīti	3
493	t	u	ta	u	satubbedhaṃ	3
494	t	u	tā	u	sayant'uttānaseyyakā	3
495	ṭ	ū	ṭa	u	vivaṭṭ'ūpanissitaṃ	3
496	t	ū	ti	u	bhavat'ūpapatti	3
497	t	u	ti	u	nādiyissant'upajjhāye	3
498	t	u	to	u	tatuttariṃ	3
499	t	u	tu	a	dhātu'dhimutti	3
500	t	ū	tu	a	kaṭacchubhikkhahetū'pi	3
501	t	u	tu	u	māt'upacāranāmena	3
502	t	ū	tu	u	yaññamut'ūpasevanā	3
503	t	ū	tu	up	ut'ūpasevanā	3
504	t	u	tuṃ		vitthāretu'kamyatā	3
505	t	u	tuṃ	a	kātu'yye	3
506	t	v	t	u	tv'evidaṃ	3
507	t	v	ti		caṇḍot'v'eva	4
508	t	y	t	e	kāyagatāty'atthu	3
509	t	y	t	i	dev'ūpapatyassa	3
510	t	y	tti		vepacity'asuro	4
511	t	y	tti	a	vipaty'anta	3
512	u	k	uṃ	k	patiṭṭhapetukāmo	3
513	u	p	u	ap	mātupi	3
514	ū	p	ū	ap	ṭhitabhikkhūpi	3
515	u	r	u		tejodhātu'r'evesā	4
516	ū	t	u	it	nighaṇḍūti	3
517	ū	t	ū	it	pāragūti	3
518	ū	v	ū	ev	bhikkhūva	3
519	u	y	u		asu'y'eva	4
520	v	ā	eva	a	iminā'v'ārahāmevāhaṃ	3
521	v	ā	o	ā	gvākappaṃ	3
522	v	a	o	a	khvayye	3
523	v	ā	o	a	yvāssu	3
524	v	ā	u	ā	bahvābādho	3
525	v	a	u	a	nvayaṃ	3
526	v	ā	u	a	sv'ānussutaṃyeva	3
527	v	ā	va	a	evāhaṃ	3
528	v	ā	va	ā	mamevārabbha	3
529	v	a	va	a	nev'attabyābādhāya	3
530	v	ā	va	ā	ādīnav'ānisaṃsa	3
531	v	ā	vā	ā	puḷav'āvasathe	3
532	v	ā	vā	a	vāssa	3
533	v	ā	vā	i	sitvā'va	3
534	v	ā	va	i	yevāti	3
535	v	ā	vaṃ	a	ev'āhaṃ	3
536	v	ā	ve	ā	duv'āyusā	3
537	v	ā	vi	a	dv'āhaṃ	3
538	v	ā	vī	ā	pathav'āpaggisamāno	3
539	v	e	o	e	khvettha	3
540	v	e	u	e	tveva	3
541	v	e	va	e	evettha	3
542	v	e	vā	e	v'eko	3
543	v	e	va	i	tavedaṃ	3
544	v	e	ve	i	dvemā	3
545	v	i	o	i	khvidha	3
546	v	i	va	i	evime	3
547	v	ī	vī	a	medhāvī'si	3
548	v	i	vi	i	dvindriyo	3
549	v	i	viṃ	a	asevi'haṃ	3
550	v	o	va	o	dhaṅkamiv'ossajantīti	3
551	v	o	va	u	āsīvisamivoragaṃ	3
552	v	o	vo	a	parisuddhājīvo'hamasmi	3
553	v	ū	vā	u	dev'ūpapatyassa	3
554	v	u	va	u	nevussādanā	3
555	v	ū	va	u	tamevūpekkhaṃ	3
556	y	a	e	a	ty'atthu	3
557	y	ā	e	a	tyāhaṃ	3
558	y	ā	e	ā	tyāvuso	3
559	y	ā	i	ā	hessaty'ājāniyo	3
560	y	a	i	a	satyassa	3
561	y	ā	iṃ	ā	kyādīsupi	3
562	y	ā	iṃ	a	kyāhaṃ	3
563	y	a	ya	a	gomay'aggi	4
564	y	ā	ya	ā	huveyy'āvuso	3
565	y	ā	ya	a	sudhammāy'ābhito	3
566	y	ā	yā	a	yāhaṃ	3
567	y	ā	yā	i	sampaliveṭheyyā'ti	3
568	y	ā	ya	i	sampaliveṭheyyā'ti	3
569	y	a	yaṃ	a	āhareyy'assāhaṃ	3
570	y	ā	yaṃ	a	yāhaṃ	3
571	y	a	yo	a	bhiyy'assuppajjate	3
572	y	e		e	y'eva	4
573	y	e	ya	e	ariyāy'etaṃ	3
574	y	e	yā	e	mahiy'ekarattivāso	3
575	y	e	ye	a	tayepi	3
576	y	e	ye	i	ye'me	3
577	y	i		i	y'ito	4
578	y	i	ya	i	kāy'indriyo	3
579	y	i	yi	a	ajāy'ihaṃ	3
580	y	ī	yī	a	maggakkhāyī'haṃ	3
581	y	o	ya	o	mahāmāluky'ovāde	3
582	y	o	ya	u	dassanāy'opasaṅkama	3
583	y	o	yo	a	yo'yaṃ	3
